股票代码,股票名称,记录编号,公告日期,分红年度,分配类型,实施年度,方案进度,送股(股/10股),转增(股/10股),派息税前(元/10股),每股派息税前(元),除权除息日,股权登记日,红股上市日,明细页税前红利(元),明细页税后红利(元),股东大会决议公告日,红利到账日,含现金分红,含送股,含转增,数据来源
600519,贵州茅台,600519-2020-06-18,2020-06-18,2019,年度分配（推断）,2020,实施,0.0,0.0,170.25,17.025,2020-06-24,2020-06-23,,170.25,170.25,2020-06-11,2020-06-24,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2020-06-18
600519,贵州茅台,600519-2019-06-22,2019-06-22,2018,年度分配（推断）,2019,实施,0.0,0.0,145.39,14.539,2019-06-28,2019-06-27,,145.39,145.39,2019-05-30,2019-06-28,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2019-06-22
600519,贵州茅台,600519-2018-06-08,2018-06-08,2017,年度分配（推断）,2018,实施,0.0,0.0,109.99,10.999,2018-06-15,2018-06-14,,109.99,109.99,2018-05-24,2018-06-15,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2018-06-08
600519,贵州茅台,600519-2017-07-01,2017-07-01,2016,年度分配（推断）,2017,实施,0.0,0.0,67.87,6.787,2017-07-07,2017-07-06,,67.87,67.87,2017-05-23,2017-07-07,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2017-07-01
600519,贵州茅台,600519-2016-06-27,2016-06-27,2015,年度分配（推断）,2016,实施,0.0,0.0,61.71,6.171,2016-07-01,2016-06-30,,61.71,61.71,2016-05-19,2016-07-01,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2016-06-27
600519,贵州茅台,600519-2015-07-10,2015-07-10,2014,年度分配（推断）,2015,实施,1.0,0.0,43.74,4.374,2015-07-17,2015-07-16,,43.74,,2015-05-21,2015-07-17,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2015-07-10
600519,贵州茅台,600519-2014-06-18,2014-06-18,2013,年度分配（推断）,2014,实施,1.0,0.0,43.74,4.374,2014-06-25,2014-06-24,,43.74,,2014-05-20,2014-06-25,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2014-06-18
600519,贵州茅台,600519-2013-06-03,2013-06-03,2012,年度分配（推断）,2013,实施,0.0,0.0,64.19,6.419,2013-06-07,2013-06-06,,64.19,60.98,2013-05-17,2013-06-17,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2013-06-03
600519,贵州茅台,600519-2012-06-27,2012-06-27,2011,年度分配（推断）,2012,实施,0.0,0.0,39.97,3.997,2012-07-05,2012-07-04,,39.97,35.97,2012-05-30,2012-07-13,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2012-06-27
600519,贵州茅台,600519-2011-06-27,2011-06-27,2010,年度分配（推断）,2011,实施,1.0,0.0,23.0,2.3,2011-07-01,2011-06-30,,23.0,,2011-05-26,2011-07-01,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2011-06-27
